etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Minoritaria,Mujer,Publica nacional,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,7,3,6,7,7,1,5,7,7,6,1,1,5.16666666666667
Predominante,Mujer,Publica nacional,14,1,1,3,2,1,0,1,0,1,2,3,3,1,1,3,6,5,7,7,7,4,5,7,4,7,7,4,9,14,5.83333333333333
Minoritaria,Mujer,Publica nacional,15,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,5,5,5,5,5,6,6,5,6,6,5,5,5,6,5.33333333333333
Predominante,Mujer,Publica nacional,13,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,2,6,2,2,6,6,6,2,6,6,2,6,6,5,4.33333333333333
Predominante,Mujer,Publica nacional,14,3,1,0,1,3,0,1,2,1,2,1,2,1,3,1,7,7,7,7,7,7,7,6,7,7,7,6,11,11,6.83333333333333
Predominante,Mujer,Publica nacional,14,1,2,1,0,0,2,1,1,3,3,2,2,0,2,3,2,7,7,7,7,5,2,6,5,7,7,5,8,15,5.58333333333333
Minoritaria,Mujer,Publica nacional,13,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0,5,7,6,6,7,6,7,5,7,7,5,7,7,1,6.25
Predominante,Mujer,Publica nacional,13,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,7,7,6,4,5,6,7,7,5,5,0,6.25
Predominante,Mujer,Publica nacional,15,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,4,2,2,2,2,4,2,2,4,4,4,1,2.5
Predominante,Mujer,Publica nacional,15,2,1,3,3,2,1,1,1,3,2,1,3,2,1,3,6,7,7,6,5,6,5,5,6,7,6,5,14,15,5.91666666666667
Predominante,Mujer,Publica nacional,17,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,4,4,6,6,5,6,4,7,5,4,7,5,5,2,5.25
Predominante,Mujer,Publica nacional,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7
Predominante,Mujer,Publica nacional,16,2,0,1,2,3,0,3,0,0,1,3,1,0,3,3,4,2,6,5,6,5,5,6,4,6,6,1,11,11,4.66666666666667
Predominante,Mujer,Publica nacional,15,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,6,6,6,7,7,7,7,7,7,7,7,7,5,6,6.75
Predominante,Mujer,Publica nacional,14,1,3,0,1,3,2,1,0,2,3,1,1,0,0,3,2,4,7,4,7,6,4,6,6,7,7,3,11,10,5.25
Minoritaria,Mujer,Publica nacional,15,2,2,0,0,0,1,2,0,0,1,1,0,0,0,0,7,7,7,5,7,4,6,2,5,7,4,5,7,2,5.5
Minoritaria,Mujer,Publica nacional,16,3,3,3,3,2,3,3,0,2,1,2,1,0,0,1,6,6,3,3,6,4,4,2,6,7,5,6,20,7,4.83333333333333
Minoritaria,Mujer,Publica nacional,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,7,1,7,1,1,1,1,1,1,1,1,1,24,18,2
Minoritaria,Mujer,Publica nacional,16,2,3,1,1,3,3,1,0,3,3,3,3,2,3,3,1,2,2,1,3,1,3,5,5,5,1,3,14,20,2.66666666666667
