Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Ciudad_mediana,Bachillerato,Mujer,63,No,Si,6,5,5,6,4,4,3,4,4,6,4,5,4,4,7,7,6,6,6,6,7,7,7,6,7,5,4,7,6,7
Poblado,Secundaria,Mujer,63,No,Si,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,7,4,4,3
Ciudad_grande,Bachillerato,Mujer,44,No,Si,6,5,4,4,3,3,5,6,6,6,4,4,6,5,5,4,5,4,4,4,5,5,5,5,3,6,4,4,4,4
Ciudad_enorme,Post-secundaria,Mujer,53,No,Si,7,7,7,6,4,4,4,6,5,7,4,4,5,4,4,4,4,4,4,4,5,5,5,5,6,4,4,4,4,4
Ciudad_enorme,Universitaria,Mujer,46,No,Si,5,4,3,5,4,5,3,5,4,3,5,4,3,5,5,3,5,5,4,5,4,3,5,4,5,3,5,5,2,2
Poblado,Post-secundaria,Mujer,53,No,Si,7,6,5,4,3,3,3,5,4,4,3,4,4,4,7,5,5,6,5,5,6,6,6,6,6,6,5,6,6,6
Ciudad_pequeña,Universitaria,Mujer,53,No,Si,5,5,4,4,3,3,3,4,4,4,3,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,1,4,4,4
Poblado,Secundaria,Mujer,38,No,Si,6,6,6,5,5,4,4,4,5,5,4,4,5,4,6,6,5,4,4,5,5,6,6,5,7,5,7,6,5,6
Poblado,Universitaria,Mujer,37,No,Si,5,5,5,3,4,4,3,5,6,4,3,5,5,4,4,3,3,4,3,3,5,4,5,5,6,4,2,4,3,3
Poblado,Secundaria,Mujer,40,No,Si,6,7,6,5,5,3,5,6,7,6,4,6,7,6,5,5,5,7,7,7,5,5,6,6,6,6,2,6,5,6
Ciudad_mediana,Secundaria,Mujer,43,No,Si,5,5,4,6,3,3,4,6,6,6,4,6,6,4,3,1,2,4,4,4,1,4,1,5,7,5,1,1,1,1
Poblado,Secundaria,Mujer,65,No,Si,7,7,7,4,3,3,4,5,6,4,4,6,7,4,4,4,4,4,4,4,6,4,5,4,7,4,4,5,5,5
Ciudad_enorme,Universitaria,Mujer,43,No,Si,5,5,5,4,4,3,4,4,5,3,3,4,4,3,4,5,3,3,3,2,1,1,2,3,6,4,4,4,3,1
Poblado,Secundaria,Mujer,57,No,Si,6,6,6,4,3,3,4,5,5,6,4,5,4,3,6,5,4,5,5,4,6,5,5,6,6,5,5,6,6,6
Poblado,Universitaria,Mujer,58,No,Si,6,6,6,6,4,2,4,6,6,4,4,5,4,3,4,4,4,4,4,4,4,1,3,4,6,4,7,1,3,4
Poblado,Secundaria,Mujer,30,No,Si,6,5,5,3,3,2,4,3,3,5,3,4,5,4,7,6,6,6,6,6,4,5,5,6,5,5,4,6,6,6
Ciudad_grande,Universitaria,Mujer,60,No,Si,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,2,4,4,4,2,2,4,2,2,2,2
Poblado,Universitaria,Mujer,44,No,Si,6,6,6,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5
Ciudad_grande,Post-secundaria,Mujer,29,No,Si,7,5,5,4,4,4,3,5,5,5,4,5,5,4,7,5,6,4,4,4,4,4,4,4,4,4,5,4,4,4
Ciudad_mediana,Bachillerato,Mujer,53,No,Si,5,5,4,4,4,4,4,6,6,7,4,5,7,4,6,5,5,6,6,6,6,6,6,6,7,6,6,6,6,6
Ciudad_grande,Universitaria,Mujer,43,No,Si,7,7,7,1,4,1,1,4,4,1,4,2,4,4,7,7,7,6,6,6,6,6,6,7,7,7,6,7,7,7
