Id;Survey_finish_time;Severity_1;Severity_2;Severity_3;Reactance_1;Reactance_2;Reactance_3;Reactance_4;Reactance_5;Reactance_6;Reactance_7;Reactance_8;Reactance_9;Reactance_10;Reactance_11;Attitude_1;Attitude_2;Attitude_3;Social_norms_1;Social_norms_2;Social_norms_3;Moral_norms_1;Moral_norms_2;Moral_norms_3;Beh_control_1;Beh_control_2;Beh_control_3;Beh_control_4;Intention_1;Intention_2;Intention_3;Residence;Education;Sex;Years_old;Age;Self_sick;Know;Know_recode;Reactance;Severity;Attitude;Beh_Control;Social_norms;Moral_norms;Intention
360;328;6;7;6;5;5;5;4;7;6;7;5;5;5;5;7;6;6;6;7;7;7;7;6;7;7;7;7;6;6;6;1;6;0;30;2;2;1;1;536,363,636,363,636;633,333,333,333,333;633,333,333,333,333;7;666,666,666,666,667;666,666,666,666,667;6
200;315;6;5;7;2;3;1;4;5;4;5;2;5;4;4;6;6;5;6;5;6;5;5;5;5;6;5;6;6;4;4;1;6;0;29;2;2;1;1;354,545,454,545,455;6;566,666,666,666,667;5,5;566,666,666,666,667;5;466,666,666,666,667
187;298;7;7;7;5;1;1;3;6;4;6;2;4;6;3;1;1;3;1;1;1;1;1;1;1;7;1;1;1;1;1;3;6;0;25;2;2;1;1;372,727,272,727,273;7;166,666,666,666,667;2,5;1;1;1
32;295;5;5;5;5;4;3;3;6;6;7;4;4;7;5;1;1;3;1;1;1;1;1;1;1;7;1;7;1;1;1;2;6;0;28;2;2;1;1;490,909,090,909,091;5;166,666,666,666,667;4;1;1;1
507;269;4;3;5;5;5;4;5;5;4;5;4;6;5;5;4;4;4;5;5;4;5;4;5;5;4;4;4;4;5;4;4;3;0;25;2;2;1;1;481,818,181,818,182;4;4;4,25;466,666,666,666,667;466,666,666,666,667;433,333,333,333,333
297;247;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;0;22;2;2;1;1;4;4;4;4;4;4;4
101;236;5;5;5;5;4;5;4;5;5;5;5;5;4;5;3;4;4;4;4;4;5;4;4;4;6;4;3;4;4;4;1;6;0;45;4;2;1;1;472,727,272,727,273;5;366,666,666,666,667;4,25;4;433,333,333,333,333;4
75;226;5;4;4;3;3;3;4;5;5;5;4;5;5;4;4;4;4;3;5;4;3;3;3;3;7;4;5;4;3;3;3;6;0;57;5;2;1;1;418,181,818,181,818;433,333,333,333,333;4;4,75;4;3;333,333,333,333,333
497;215;6;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;3;5;5;4;4;5;2;3;0;27;2;2;1;1;4;533,333,333,333,333;4;4,75;4;4;433,333,333,333,333
423;3949;6;6;7;4;4;3;3;5;5;6;3;4;4;4;7;6;6;6;6;6;7;5;6;6;5;5;4;7;7;7;1;4;1;44;4;2;1;1;409,090,909,090,909;633,333,333,333,333;633,333,333,333,333;5;6;6;7
318;3195;6;6;6;4;3;2;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;1;3;1;39;3;2;1;1;418,181,818,181,818;6;4;4;4;366,666,666,666,667;4
5;3190;4;4;4;4;4;4;5;6;4;6;4;5;6;4;5;5;5;4;4;4;4;4;4;4;7;4;4;4;4;4;3;3;1;64;6;2;1;1;472,727,272,727,273;4;5;4,75;4;4;4
257;2735;7;5;5;4;4;3;3;5;5;5;3;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;6;1;40;3;2;1;1;409,090,909,090,909;566,666,666,666,667;5;4,75;5;5;5
458;2491;7;7;7;5;5;4;3;6;7;4;4;5;6;5;6;5;5;6;6;6;4;5;6;5;6;5;4;5;5;5;1;6;1;56;5;2;1;1;490,909,090,909,091;7;533,333,333,333,333;5;6;5;5
22;2382;6;5;4;3;3;2;5;3;6;5;3;4;4;3;4;2;4;2;2;2;2;2;2;4;7;3;7;2;2;2;5;6;1;38;3;2;1;1;372,727,272,727,273;5;333,333,333,333,333;5,25;2;2;2
